Date,Symbol,Class Symbol,Root Symbol,Underlying Symbol,Strike Price,Expiry Date,Call/Put,Ins. Type,Bid Price,Ask Price,Bid Size,Ask Size,Last Price,Volume,Last Close Price,Net Change,Open Price,High Price,Low Price,Total Value,Nb. Trades,Settlement Price,Open Interest,Implied Volatility,Accrued Financing Value,Accrued Financing Date,CORRA Rate,symbol,source_file
2021-02-09,CRAH23,CRA,CRA,CRA,0,2023-06-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.655,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAM23,CRA,CRA,CRA,0,2023-09-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.625,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAU23,CRA,CRA,CRA,0,2023-12-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.595,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAZ20,CRA,CRA,CRA,0,2021-03-17,0,1,99.8,99.815,100,100,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.815,2304,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAH21,CRA,CRA,CRA,0,2021-06-16,0,1,99.78,99.79,100,90,0.0,10,0.0,-0.01,99.79,99.79,99.785,0,2,99.79,5547,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAM21,CRA,CRA,CRA,0,2021-09-15,0,1,99.77,99.785,105,105,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.775,593,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAU21,CRA,CRA,CRA,0,2021-12-15,0,1,99.77,99.785,205,105,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.77,261,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAZ21,CRA,CRA,CRA,0,2022-03-16,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.77,150,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAH22,CRA,CRA,CRA,0,2022-06-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.755,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAM22,CRA,CRA,CRA,0,2022-09-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.72,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAU22,CRA,CRA,CRA,0,2022-12-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.7,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAZ22,CRA,CRA,CRA,0,2023-03-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.68,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAH23,CRA,CRA,CRA,0,2023-06-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.65,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-10,CRAM23,CRA,CRA,CRA,0,2023-09-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.62,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
